entity_id,name,domain,platform,device_id,device_name,area,area_source,entity_category,label_names,label_count,missing_labels,rule_failures,disabled_by,hidden_by
select.deken_r_r_power_on_behavior,Power-on behavior,select,mqtt,93d6b1376cde1cd56216e051984c2e81,Deken R/R,,,config,,0,True,no labels at all,,
switch.deken_r_r_child_lock,Child lock,switch,mqtt,93d6b1376cde1cd56216e051984c2e81,Deken R/R,,,config,,0,True,no labels at all,,
switch.deken_r_r_led_enable,Led enable,switch,mqtt,93d6b1376cde1cd56216e051984c2e81,Deken R/R,,,config,,0,True,no labels at all,,
button.deken_r_r_identify,Identify,button,mqtt,93d6b1376cde1cd56216e051984c2e81,Deken R/R,,,config,,0,True,no labels at all,,
sensor.0x348d13fffec7bbf7_linkquality,Linkquality,sensor,mqtt,93d6b1376cde1cd56216e051984c2e81,Deken R/R,,,diagnostic,,0,True,no labels at all,integration,
update.deken_r_r,,update,mqtt,93d6b1376cde1cd56216e051984c2e81,Deken R/R,,,config,,0,True,no labels at all,,
automation.tv_knop,TV knop,automation,automation,,,,,,"Digital only, Switch",2,False,"missing category: brand, protocol",,
sensor.watchman_last_updated,Last Update,sensor,watchman,9b8027c862b86e8c5fa57df578ffd0d5,Watchman,Digital only,device,diagnostic,Sensor,1,False,"missing category: brand, protocol",,
sensor.watchman_missing_entities,Missing Entities,sensor,watchman,9b8027c862b86e8c5fa57df578ffd0d5,Watchman,Digital only,device,diagnostic,Sensor,1,False,"missing category: brand, protocol",,
sensor.watchman_missing_actions,Missing Actions,sensor,watchman,9b8027c862b86e8c5fa57df578ffd0d5,Watchman,Digital only,device,diagnostic,Sensor,1,False,"missing category: brand, protocol",,
sensor.watchman_status,Status,sensor,watchman,9b8027c862b86e8c5fa57df578ffd0d5,Watchman,Digital only,device,diagnostic,,0,True,no labels at all,,
sensor.watchman_parse_duration,Parse Duration,sensor,watchman,9b8027c862b86e8c5fa57df578ffd0d5,Watchman,Digital only,device,diagnostic,,0,True,no labels at all,,
sensor.watchman_last_parse,Last Parse,sensor,watchman,9b8027c862b86e8c5fa57df578ffd0d5,Watchman,Digital only,device,diagnostic,,0,True,no labels at all,,
sensor.watchman_processed_files,Processed Files,sensor,watchman,9b8027c862b86e8c5fa57df578ffd0d5,Watchman,Digital only,device,diagnostic,,0,True,no labels at all,,
sensor.watchman_ignored_files,Ignored Files,sensor,watchman,9b8027c862b86e8c5fa57df578ffd0d5,Watchman,Digital only,device,diagnostic,,0,True,no labels at all,,
text.watchman_ignored_labels,Ignored Labels,text,watchman,,,,,,,0,True,no labels at all,,
button.watchman_create_report_file,Create Report File,button,watchman,9b8027c862b86e8c5fa57df578ffd0d5,Watchman,Digital only,device,config,,0,True,no labels at all,,
switch.oude_schuur_buitenlamp,,switch,mqtt,92e0d3ebd2e85ccad6324e9838ebd4e6,Oude schuur - buitenlamp,Achtertuin,device,,,0,True,no labels at all,,
select.oude_schuur_buitenlamp_power_on_behavior,Power-on behavior,select,mqtt,92e0d3ebd2e85ccad6324e9838ebd4e6,Oude schuur - buitenlamp,Achtertuin,device,config,,0,True,no labels at all,,
switch.oude_schuur_buitenlamp_child_lock,Child lock,switch,mqtt,92e0d3ebd2e85ccad6324e9838ebd4e6,Oude schuur - buitenlamp,Achtertuin,device,config,,0,True,no labels at all,,
switch.oude_schuur_buitenlamp_led_enable,Led enable,switch,mqtt,92e0d3ebd2e85ccad6324e9838ebd4e6,Oude schuur - buitenlamp,Achtertuin,device,config,,0,True,no labels at all,,
button.oude_schuur_buitenlamp_identify,Identify,button,mqtt,92e0d3ebd2e85ccad6324e9838ebd4e6,Oude schuur - buitenlamp,Achtertuin,device,config,,0,True,no labels at all,,
sensor.0x348d13fffe07ce3c_linkquality,Linkquality,sensor,mqtt,92e0d3ebd2e85ccad6324e9838ebd4e6,Oude schuur - buitenlamp,Achtertuin,device,diagnostic,,0,True,no labels at all,integration,
update.oude_schuur_buitenlamp,,update,mqtt,92e0d3ebd2e85ccad6324e9838ebd4e6,Oude schuur - buitenlamp,Achtertuin,device,config,"IKEA, Light, Zigbee",3,False,,,
sensor.iq_gateway_system_controller,System Controller,sensor,enphase_ev,dd1a6c9ae25871e9cea091613554ee39,IQ Gateway,Unknown,device,diagnostic,,0,True,no labels at all,,
sensor.iq_gateway_gateway_status,Gateway Status,sensor,enphase_ev,dd1a6c9ae25871e9cea091613554ee39,IQ Gateway,Unknown,device,diagnostic,,0,True,no labels at all,,
sensor.iq_gateway_gateway_last_reported,Gateway Last Reported,sensor,enphase_ev,dd1a6c9ae25871e9cea091613554ee39,IQ Gateway,Unknown,device,diagnostic,,0,True,no labels at all,,
sensor.enphase_site_5850163_site_solar_production,Site Solar Production,sensor,enphase_ev,0e6434e4a2f6fd184573d242d37e6f23,Enphase Cloud,Unknown,device,,,0,True,no labels at all,,
sensor.enphase_site_5850163_site_consumption,Site Consumption,sensor,enphase_ev,0e6434e4a2f6fd184573d242d37e6f23,Enphase Cloud,Unknown,device,,,0,True,no labels at all,,
sensor.enphase_site_5850163_site_grid_import,Site Grid Import,sensor,enphase_ev,0e6434e4a2f6fd184573d242d37e6f23,Enphase Cloud,Unknown,device,,,0,True,no labels at all,,
sensor.enphase_site_5850163_site_grid_export,Site Grid Export,sensor,enphase_ev,0e6434e4a2f6fd184573d242d37e6f23,Enphase Cloud,Unknown,device,,,0,True,no labels at all,,
sensor.enphase_site_5850163_site_battery_charge,Site Battery Charge,sensor,enphase_ev,0e6434e4a2f6fd184573d242d37e6f23,Enphase Cloud,Unknown,device,,,0,True,no labels at all,,
sensor.enphase_site_5850163_site_battery_discharge,Site Battery Discharge,sensor,enphase_ev,0e6434e4a2f6fd184573d242d37e6f23,Enphase Cloud,Unknown,device,,,0,True,no labels at all,,
